Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Circular vectoring test
---------------------------------------------
Number of tests             : 10000
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration : Cycle Count
4228 :  -0.179708,  -0.251163,   0.000000 |   0.508573,   0.000000, -125.583811 | 1.716166e-09, 4.656613e-10, 7.436442e-08 : 000, -1 :  84
4229 :   0.406109,  -0.511795,   0.000000 |   1.075901,   0.000000,  -51.568079 | 2.003015e+00, 2.281953e-01, 1.164288e+00 : 100,  3 :  58
4230 :   0.786331,  -0.951325,   0.000000 |   2.032488,   0.000000,  -50.424099 | 2.212336e+00, 2.961665e-01, 2.114095e+01 : 100,  1 :  56
4231 :   0.935776,  -0.886497,   0.000000 |   2.122695,   0.000000,  -43.450937 | 2.275782e+00, 1.381427e-01, 2.501599e+01 : 100,  1 :  56
4232 :   0.521098,  -0.287513,   0.000000 |   0.980074,   0.000000,  -28.887439 | 3.254742e-09, 4.656613e-10, 3.890321e-09 : 000, -1 :  84
4233 :  -0.226356,  -0.213806,   0.000000 |   0.512748,   0.000000, -136.633234 | 2.922493e-09, -0.000000e+00, 9.471967e-08 : 000, -1 :  84
4234 :   0.630229,  -0.710304,   0.000000 |   1.563747,   0.000000,  -48.418407 | 2.183176e+00, 4.098079e-01, 2.314664e+01 : 100,  1 :  56
4235 :  -0.000995,  -0.755231,   0.000000 |   1.243686,   0.000000,  -90.075507 | 2.016311e+00, 5.927866e-01, 4.323198e+00 : 100,  2 :  57
4236 :   0.919698,   0.631901,   0.000000 |   1.837555,   0.000000,   34.491969 | 2.142056e+00, 5.119970e-01, 1.605702e+01 : 100,  1 :  56
4237 :   0.784010,   0.792773,   0.000000 |   1.836091,   0.000000,   45.318413 | 2.254926e+00, 2.203710e-01, 2.624664e+01 : 100,  1 :  56
4238 :   0.037788,  -0.034975,   0.000000 |   0.084791,   0.000000,  -42.786176 | 4.731981e-09, -0.000000e+00, 8.994052e-07 : 000, -1 :  84
4239 :   0.276848,  -0.430805,   0.000000 |   0.843291,   0.000000,  -57.274029 | 4.045038e-09, 4.656613e-10, 1.020222e-07 : 000, -1 :  84
4240 :   0.747916,  -0.212377,   0.000000 |   1.280330,   0.000000,  -15.852304 | 2.038420e+00, 2.483777e-01, 1.145360e+01 : 100,  2 :  57
4241 :  -0.649847,  -0.308102,   0.000000 |   1.184327,   0.000000, -154.633671 | 2.021197e+00, 3.550243e-01, 7.104863e+00 : 100,  2 :  57
4242 :  -0.323929,   0.564129,   0.000000 |   1.071244,   0.000000,  119.864871 | 2.012129e+00, 4.517888e-01, 2.606322e+00 : 101,  2 :  57
4243 :  -0.191591,   0.992846,   0.000000 |   1.665143,   0.000000,  100.922194 | 2.080078e+00, 7.909633e-01, 7.512755e+00 : 111,  1 :  56
4244 :   0.876612,   0.681756,   0.000000 |   1.828749,   0.000000,   37.872794 | 2.172953e+00, 4.156727e-01, 1.943784e+01 : 100,  1 :  56
4245 :   0.148078,  -0.436114,   0.000000 |   0.758443,   0.000000,  -71.245638 | 6.300446e-09, 4.656613e-10, 2.165490e-07 : 000, -1 :  84
4246 :   0.060167,  -0.360169,   0.000000 |   0.601331,   0.000000,  -80.516236 | 1.488073e-09, -0.000000e+00, 1.336575e-07 : 000, -1 :  84
4247 :  -0.535785,  -0.168182,   0.000000 |   0.924757,   0.000000, -162.573024 | 2.470011e-09, -0.000000e+00, 2.979997e-07 : 000, -1 :  84
4248 :  -0.172596,   0.940301,   0.000000 |   1.574319,   0.000000,  100.401099 | 2.077570e+00, 7.887438e-01, 8.033850e+00 : 111,  1 :  56
4249 :  -0.402679,  -0.618486,   0.000000 |   1.215344,   0.000000, -123.066993 | 2.086275e+00, 7.052252e-01, 1.463204e+01 : 100,  1 :  56
4250 :  -0.247598,   0.648151,   0.000000 |   1.142577,   0.000000,  110.907181 | 2.034721e+00, 2.733150e-01, 1.156401e+01 : 101,  2 :  57
4251 :  -0.885821,  -0.754164,   0.000000 |   1.915799,   0.000000, -139.589826 | 2.209987e+00, 3.116647e-01, 2.197523e+01 : 100,  1 :  56
4252 :   0.659386,  -0.909493,   0.000000 |   1.849926,   0.000000,  -54.057754 | 2.155994e+00, 4.656680e-01, 1.750730e+01 : 100,  1 :  56
4253 :   0.216420,  -0.118896,   0.000000 |   0.406633,   0.000000,  -28.783442 | 2.113623e-09, -0.000000e+00, 1.589950e-07 : 000, -1 :  84
4254 :  -0.063434,   0.663151,   0.000000 |   1.097036,   0.000000,   95.464027 | 2.011486e+00, 4.798136e-01, 1.065322e+00 : 101,  2 :  57
4255 :  -0.829423,   0.546848,   0.000000 |   1.636010,   0.000000,  146.602695 | 2.118451e+00, 5.944397e-01, 1.496236e+01 : 101,  1 :  56
4256 :   0.230845,   0.213212,   0.000000 |   0.517483,   0.000000,   42.726112 | 3.719253e-09, -0.000000e+00, 7.535959e-08 : 000, -1 :  84
4257 :   0.353376,  -0.691376,   0.000000 |   1.278627,   0.000000,  -62.927508 | 2.064876e+00, 8.156237e-01, 8.637544e+00 : 100,  1 :  56
4258 :  -0.632875,  -0.033220,   0.000000 |   1.043628,   0.000000, -176.995249 | 2.007913e+00, 1.460548e-01, -5.731062e+00 : 101,  3 :  58
4259 :  -0.493993,   0.382615,   0.000000 |   1.028960,   0.000000,  142.240936 | 2.003199e+00, 2.170985e-01, 1.837144e+00 : 101,  3 :  58
4260 :   0.835983,   0.470186,   0.000000 |   1.579468,   0.000000,   29.354947 | 2.090400e+00, 7.127118e-01, 1.092000e+01 : 100,  1 :  56
4261 :  -0.708870,  -0.959219,   0.000000 |   1.964136,   0.000000, -126.464684 | 2.170872e+00, 4.163043e-01, 1.802973e+01 : 100,  1 :  56
4262 :  -0.306555,   0.513715,   0.000000 |   0.985141,   0.000000,  120.826324 | 3.354801e-09, 4.656613e-10, 9.319641e-08 : 001, -1 :  84
4263 :  -0.253633,  -0.204691,   0.000000 |   0.536723,   0.000000, -141.095290 | 1.500462e-09, -0.000000e+00, 6.156827e-08 : 000, -1 :  84
4264 :   0.216632,   0.506475,   0.000000 |   0.907134,   0.000000,   66.842454 | 2.479524e-09, -0.000000e+00, 1.355538e-07 : 000, -1 :  84
4265 :  -0.271973,  -0.918890,   0.000000 |   1.578082,   0.000000, -106.487695 | 2.063760e+00, 9.485145e-01, 1.947254e+00 : 110,  1 :  56
4266 :  -0.840996,  -0.728794,   0.000000 |   1.832581,   0.000000, -139.088309 | 2.206691e+00, 3.273074e-01, 2.247674e+01 : 100,  1 :  56
4267 :   0.938817,  -0.844895,   0.000000 |   2.079895,   0.000000,  -41.985834 | 2.249221e+00, 2.020664e-01, 2.355089e+01 : 100,  1 :  56
4268 :  -0.051025,  -0.272255,   0.000000 |   0.456144,   0.000000, -100.615040 | 4.500360e-09, 4.656613e-10, 2.112976e-07 : 000, -1 :  84
4269 :  -0.366714,  -0.568928,   0.000000 |   1.114649,   0.000000, -122.804578 | 2.011498e+00, 5.064189e-01, 3.333852e-01 : 100,  2 :  57
4270 :   0.675621,   0.433923,   0.000000 |   1.322290,   0.000000,   32.710921 | 2.091898e+00, 6.869263e-01, 1.427597e+01 : 100,  1 :  56
4271 :   0.594753,   0.968774,   0.000000 |   1.871993,   0.000000,   58.453254 | 2.121456e+00, 5.922573e-01, 1.311180e+01 : 100,  1 :  56
4272 :   0.205265,  -0.547373,   0.000000 |   0.962688,   0.000000,  -69.443904 | 4.306144e-09, 4.656613e-10, 6.013569e-08 : 000, -1 :  84
4273 :  -0.522530,  -0.663854,   0.000000 |   1.391235,   0.000000, -128.206877 | 2.134189e+00, 5.481312e-01, 1.977193e+01 : 100,  1 :  56
4274 :   0.272663,   0.513792,   0.000000 |   0.957853,   0.000000,   62.045726 | 5.456080e-09, 4.656613e-10, 2.470465e-07 : 000, -1 :  84
4275 :  -0.892230,   0.563276,   0.000000 |   1.737589,   0.000000,  147.735269 | 2.117606e+00, 6.012010e-01, 1.382978e+01 : 101,  1 :  56
4276 :   0.890544,   0.940058,   0.000000 |   2.132397,   0.000000,   46.549364 | 2.277038e+00, 1.342135e-01, 2.501569e+01 : 100,  1 :  56
4277 :   0.837951,   0.406926,   0.000000 |   1.534008,   0.000000,   25.902130 | 2.073619e+00, 8.085871e-01, 7.467181e+00 : 100,  1 :  56
4278 :  -0.078728,   0.304848,   0.000000 |   0.518483,   0.000000,  104.480476 | 2.490444e-09, 4.656613e-10, 3.032416e-08 : 001, -1 :  84
4279 :  -0.453363,   0.644358,   0.000000 |   1.297429,   0.000000,  125.129787 | 2.104210e+00, 6.421344e-01, 1.669484e+01 : 101,  1 :  56
4280 :  -0.845643,   0.291627,   0.000000 |   1.473053,   0.000000,  160.972812 | 2.058775e+00, 9.853808e-01, 5.922390e-01 : 101,  1 :  56
4281 :   0.379383,  -0.384793,   0.000000 |   0.889856,   0.000000,  -45.405563 | 1.454549e-10, 9.313226e-10, 1.573361e-07 : 000, -1 :  84
4282 :   0.733582,  -0.276928,   0.000000 |   1.291244,   0.000000,  -20.681612 | 2.052408e+00, 9.513982e-01, 2.246663e+00 : 100,  1 :  56
4283 :   0.823260,  -0.269856,   0.000000 |   1.426687,   0.000000,  -18.148624 | 2.056869e+00, 9.931545e-01, 2.863253e-01 : 110,  1 :  56
4284 :  -0.722520,   0.228919,   0.000000 |   1.248109,   0.000000,  162.419998 | 2.045399e+00, 2.183210e-01, 1.318130e+01 : 101,  2 :  57
4285 :  -0.790830,   0.165089,   0.000000 |   1.330381,   0.000000,  168.208587 | 2.024646e+00, 3.305837e-01, 7.392707e+00 : 101,  2 :  57
4286 :   0.536935,  -0.478764,   0.000000 |   1.184654,   0.000000,  -41.722154 | 2.139869e+00, 5.503214e-01, 2.328720e+01 : 100,  1 :  56
4287 :   0.235655,   0.459728,   0.000000 |   0.850728,   0.000000,   62.860454 | 9.632573e-11, -0.000000e+00, 4.130424e-07 : 000, -1 :  84
4288 :   0.933628,   0.745857,   0.000000 |   1.967837,   0.000000,   38.620675 | 2.194466e+00, 3.480280e-01, 2.018573e+01 : 100,  1 :  56
4289 :  -0.392068,   0.239063,   0.000000 |   0.756199,   0.000000,  148.627311 | 3.784413e-09, 9.313226e-10, 7.456543e-08 : 001, -1 :  84
4290 :  -0.176897,  -0.121250,   0.000000 |   0.353168,   0.000000, -145.572274 | 3.390648e-09, 9.313226e-10, 4.535624e-08 : 000, -1 :  84
4291 :  -0.614085,  -0.223228,   0.000000 |   1.075992,   0.000000, -160.023087 | 2.036301e+00, 2.696149e-01, 1.249428e+01 : 100,  2 :  57
4292 :  -0.173817,   0.636047,   0.000000 |   1.085824,   0.000000,  105.284407 | 2.030520e+00, 2.970536e-01, 1.088570e+01 : 101,  2 :  57
4293 :  -0.865024,  -0.380893,   0.000000 |   1.556469,   0.000000, -156.234833 | 2.068486e+00, 8.611724e-01, 5.330218e+00 : 100,  1 :  56
4294 :   0.072506,  -0.133497,   0.000000 |   0.250170,   0.000000,  -61.492519 | 3.197711e-09, 4.656613e-10, 4.790381e-08 : 000, -1 :  84
4295 :  -0.526821,   0.988095,   0.000000 |   1.843983,   0.000000,  118.065136 | 2.098430e+00, 7.038158e-01, 9.630187e+00 : 101,  1 :  56
4296 :   0.699908,  -0.104879,   0.000000 |   1.165448,   0.000000,   -8.522173 | 2.014989e+00, 4.170604e-01, 4.123467e+00 : 100,  2 :  57
4297 :   0.108764,   0.182781,   0.000000 |   0.350254,   0.000000,   59.245247 | 3.128006e-09, 4.656613e-10, 2.005977e-07 : 000, -1 :  84
4298 :   0.453428,  -0.213294,   0.000000 |   0.825175,   0.000000,  -25.192501 | 3.481547e-09, 9.313226e-10, 9.867849e-08 : 000, -1 :  84
4299 :  -0.038401,  -0.302730,   0.000000 |   0.502518,   0.000000,  -97.229216 | 5.363049e-09, -0.000000e+00, 1.251252e-07 : 000, -1 :  84
4300 :   0.727664,   0.998081,   0.000000 |   2.034040,   0.000000,   53.905605 | 2.173086e+00, 4.075448e-01, 1.765945e+01 : 100,  1 :  56
4301 :   0.462382,   0.274319,   0.000000 |   0.885351,   0.000000,   30.679472 | 1.141495e-09, 4.656613e-10, 8.794865e-08 : 000, -1 :  84
4302 :   0.896240,   0.387737,   0.000000 |   1.608091,   0.000000,   23.394597 | 2.069862e+00, 8.665140e-01, 4.959648e+00 : 100,  1 :  56
4303 :   0.623313,  -0.386783,   0.000000 |   1.208009,   0.000000,  -31.820736 | 2.079648e+00, 7.314821e-01, 1.338579e+01 : 100,  1 :  56
4304 :  -0.727865,  -0.948356,   0.000000 |   1.968666,   0.000000, -127.506318 | 2.182199e+00, 3.823799e-01, 1.907137e+01 : 100,  1 :  56
4305 :  -0.025989,   0.950724,   0.000000 |   1.566200,   0.000000,   91.565844 | 2.018024e+00, 5.766085e-01, 2.832861e+00 : 101,  2 :  57
4306 :  -0.457384,   0.953988,   0.000000 |   1.742217,   0.000000,  115.615101 | 2.082543e+00, 7.909186e-01, 7.180152e+00 : 101,  1 :  56
4307 :   0.956410,   0.233796,   0.000000 |   1.621352,   0.000000,   13.736650 | 2.069840e+00, 8.724888e-01, 4.698299e+00 : 110,  1 :  56
4308 :   0.022540,   0.821583,   0.000000 |   1.353459,   0.000000,   88.428478 | 2.015569e+00, 5.660700e-01, 2.827184e+00 : 100,  2 :  57
4309 :  -0.127610,   0.102862,   0.000000 |   0.269913,   0.000000,  141.128818 | 4.010623e-09, -0.000000e+00, 4.939472e-07 : 001, -1 :  84
4310 :   0.569753,   0.270700,   0.000000 |   1.038762,   0.000000,   25.413258 | 2.002698e+00, 2.487870e-01, 6.708215e-02 : 100,  3 :  58
4311 :   0.977898,   0.404400,   0.000000 |   1.742630,   0.000000,   22.467071 | 2.073583e+00, 8.823485e-01, 4.032122e+00 : 100,  1 :  56
4312 :  -0.493642,   0.635073,   0.000000 |   1.324593,   0.000000,  127.857913 | 2.125163e+00, 5.770736e-01, 1.942296e+01 : 101,  1 :  56
4313 :  -0.182709,   0.451554,   0.000000 |   0.802167,   0.000000,  112.029366 | 4.474544e-09, 9.313226e-10, 7.417941e-08 : 001, -1 :  84
4314 :   0.389589,   0.463818,   0.000000 |   0.997488,   0.000000,   49.971059 | 4.176705e-09, 9.313226e-10, 3.290320e-07 : 000, -1 :  84
4315 :  -0.608323,  -0.248447,   0.000000 |   1.082089,   0.000000, -157.784218 | 2.028254e+00, 3.093328e-01, 1.025541e+01 : 100,  2 :  57
4316 :  -0.023959,  -0.841966,   0.000000 |   1.387077,   0.000000,  -91.629973 | 2.015888e+00, 5.663123e-01, 2.768732e+00 : 100,  2 :  57
4317 :   0.254983,  -0.581328,   0.000000 |   1.045348,   0.000000,  -66.316692 | 2.003154e+00, 2.802556e-01, 1.662868e+00 : 100,  3 :  58
4318 :   0.223020,  -0.285176,   0.000000 |   0.596171,   0.000000,  -51.973154 | 2.521176e-09, -0.000000e+00, 2.135877e-09 : 000, -1 :  84
4319 :  -0.868494,  -0.008503,   0.000000 |   1.430270,   0.000000, -179.439042 | 2.017904e+00, 5.947438e-01, 3.837747e+00 : 100,  2 :  57
4320 :   0.670736,  -0.952523,   0.000000 |   1.918449,   0.000000,  -54.848039 | 2.154296e+00, 4.701577e-01, 1.671701e+01 : 100,  1 :  56
4321 :   0.148705,   0.873229,   0.000000 |   1.458701,   0.000000,   80.335635 | 2.074505e+00, 7.864427e-01, 8.770583e+00 : 110,  1 :  56
4322 :  -0.950877,  -0.149412,   0.000000 |   1.585079,   0.000000, -171.070114 | 2.084058e+00, 7.486788e-01, 9.505063e+00 : 110,  1 :  56
4323 :   0.278969,   0.113792,   0.000000 |   0.496144,   0.000000,   22.190541 | 5.537442e-09, 9.313226e-10, 2.391733e-07 : 000, -1 :  84
4324 :  -0.546997,  -0.521159,   0.000000 |   1.244161,   0.000000, -136.385673 | 2.163087e+00, 4.917603e-01, 2.517938e+01 : 100,  1 :  56
4325 :   0.084130,   0.752479,   0.000000 |   1.246873,   0.000000,   83.620611 | 2.013579e+00, 4.573487e-01, 1.980684e+00 : 100,  2 :  57
4326 :   0.929373,   0.808212,   0.000000 |   2.028217,   0.000000,   41.011254 | 2.230053e+00, 2.523686e-01, 2.257631e+01 : 100,  1 :  56
4327 :   0.356447,  -0.560095,   0.000000 |   1.093281,   0.000000,  -57.527091 | 2.011259e+00, 5.000324e-01, 1.716940e-03 : 100,  2 :  57
4328 :   0.820536,  -0.451653,   0.000000 |   1.542399,   0.000000,  -28.830014 | 2.085769e+00, 7.327881e-01, 1.039506e+01 : 100,  1 :  56
4329 :   0.749838,   0.558003,   0.000000 |   1.539193,   0.000000,   36.655329 | 2.135433e+00, 5.379141e-01, 1.822038e+01 : 100,  1 :  56
4330 :   0.706858,  -0.025134,   0.000000 |   1.164762,   0.000000,   -2.036444 | 2.012975e+00, 5.475142e-01, 2.362261e+00 : 100,  2 :  57
4331 :  -0.004914,   0.556810,   0.000000 |   0.916968,   0.000000,   90.505679 | 2.303372e-09, 9.313226e-10, 7.673762e-09 : 001, -1 :  84
4332 :   0.292875,   0.550331,   0.000000 |   1.026607,   0.000000,   61.979022 | 2.003781e+00, 2.022156e-01, 2.674802e+00 : 100,  3 :  58
4333 :   0.792783,   0.726811,   0.000000 |   1.771136,   0.000000,   42.514097 | 2.218556e+00, 3.061753e-01, 2.407915e+01 : 100,  1 :  56
4334 :   0.080505,   0.402641,   0.000000 |   0.676176,   0.000000,   78.693199 | 2.950377e-09, 9.313226e-10, 4.437149e-08 : 000, -1 :  84
4335 :  -0.022236,   0.125573,   0.000000 |   0.210005,   0.000000,  100.041854 | 1.788105e-09, 4.656613e-10, 3.176107e-07 : 001, -1 :  84
4336 :  -0.826867,  -0.870404,   0.000000 |   1.977013,   0.000000, -133.530605 | 2.257973e+00, 1.949018e-01, 2.509566e+01 : 100,  1 :  56
4337 :   0.048761,  -0.122572,   0.000000 |   0.217232,   0.000000,  -68.306497 | 3.892143e-09, 4.656613e-10, 2.400709e-07 : 000, -1 :  84
4338 :   0.054292,  -0.101613,   0.000000 |   0.189720,   0.000000,  -61.884231 | 4.482848e-09, 4.656613e-10, 2.352460e-08 : 000, -1 :  84
4339 :  -0.342939,  -0.435048,   0.000000 |   0.912242,   0.000000, -128.247948 | 3.266780e-09, 4.656613e-10, 2.971991e-07 : 000, -1 :  84
4340 :  -0.315289,  -0.691248,   0.000000 |   1.251138,   0.000000, -114.518437 | 2.056621e+00, 8.726911e-01, 6.083488e+00 : 100,  1 :  56
4341 :   0.147880,  -0.069007,   0.000000 |   0.268733,   0.000000,  -25.015523 | 3.471407e-09, -0.000000e+00, 1.573732e-07 : 000, -1 :  84
4342 :  -0.238530,   0.988559,   0.000000 |   1.674638,   0.000000,  103.565612 | 2.072535e+00, 8.635150e-01, 4.869336e+00 : 111,  1 :  56
4343 :   0.748232,  -0.390009,   0.000000 |   1.389496,   0.000000,  -27.530343 | 2.072144e+00, 7.891030e-01, 9.095394e+00 : 100,  1 :  56
4344 :   0.483016,  -0.609441,   0.000000 |   1.280585,   0.000000,  -51.601239 | 2.124916e+00, 5.801970e-01, 1.996381e+01 : 100,  1 :  56
4345 :   0.495029,  -0.892648,   0.000000 |   1.680885,   0.000000,  -60.988920 | 2.094398e+00, 7.037811e-01, 1.057613e+01 : 100,  1 :  56
4346 :  -0.336218,  -0.240940,   0.000000 |   0.681159,   0.000000, -144.373904 | 3.727355e-09, 1.396984e-09, 2.266564e-07 : 000, -1 :  84
4347 :   0.497166,   0.745610,   0.000000 |   1.475766,   0.000000,   56.305014 | 2.108768e+00, 6.270561e-01, 1.526004e+01 : 100,  1 :  56
4348 :   0.542179,  -0.264726,   0.000000 |   0.993582,   0.000000,  -26.024564 | 1.350780e-09, 4.656613e-10, 7.363352e-08 : 000, -1 :  84
4349 :  -0.374657,   0.796148,   0.000000 |   1.448980,   0.000000,  115.201075 | 2.067430e+00, 8.360884e-01, 6.766126e+00 : 101,  1 :  56
4350 :  -0.874320,  -0.429914,   0.000000 |   1.604440,   0.000000, -153.816067 | 2.078002e+00, 7.922885e-01, 7.748984e+00 : 100,  1 :  56
4351 :   0.223364,  -0.484799,   0.000000 |   0.879008,   0.000000,  -65.262800 | 4.739395e-09, 1.862645e-09, 2.071697e-07 : 000, -1 :  84
4352 :  -0.583222,  -0.587008,   0.000000 |   1.362664,   0.000000, -134.814641 | 2.190541e+00, 4.186708e-01, 2.637969e+01 : 100,  1 :  56
4353 :  -0.065321,   0.302920,   0.000000 |   0.510303,   0.000000,  102.168863 | 3.318530e-09, 4.656613e-10, 6.691778e-09 : 001, -1 :  84
4354 :   0.363545,  -0.354034,   0.000000 |   0.835647,   0.000000,  -44.240629 | 1.547784e-09, 1.396984e-09, 1.876056e-07 : 000, -1 :  84
4355 :  -0.762097,   0.704222,   0.000000 |   1.708763,   0.000000,  137.260274 | 2.213507e+00, 3.247157e-01, 2.430478e+01 : 101,  1 :  56
4356 :  -0.121447,  -0.269009,   0.000000 |   0.486047,   0.000000, -114.297367 | 4.930838e-09, 9.313226e-10, 7.488552e-08 : 000, -1 :  84
4357 :  -0.214923,  -0.529807,   0.000000 |   0.941519,   0.000000, -112.080578 | 3.850153e-09, 1.396984e-09, 2.461951e-07 : 000, -1 :  84
4358 :   0.769905,   0.540013,   0.000000 |   1.548627,   0.000000,   35.045908 | 2.123763e+00, 5.749329e-01, 1.661096e+01 : 100,  1 :  56
4359 :   0.136406,  -0.601211,   0.000000 |   1.015213,   0.000000,  -77.216858 | 2.001490e+00, 8.398492e-02, 2.316914e+00 : 100,  4 :  59
4360 :   0.928125,   0.636074,   0.000000 |   1.852884,   0.000000,   34.424112 | 2.142660e+00, 5.099511e-01, 1.598916e+01 : 100,  1 :  56
4361 :   0.985235,  -0.826426,   0.000000 |   2.117651,   0.000000,  -39.990280 | 2.226586e+00, 2.529792e-01, 2.155533e+01 : 100,  1 :  56
4362 :  -0.387345,   0.474359,   0.000000 |   1.008501,   0.000000,  129.233874 | 2.002241e+00, 6.849472e-02, 3.214000e+00 : 101,  4 :  59
4363 :  -0.532990,   0.919272,   0.000000 |   1.749863,   0.000000,  120.104956 | 2.104460e+00, 6.601516e-01, 1.167001e+01 : 101,  1 :  56
4364 :  -0.818283,  -0.008084,   0.000000 |   1.347582,   0.000000, -179.434002 | 2.016861e+00, 5.891494e-01, 3.832707e+00 : 100,  2 :  57
4365 :  -0.354027,  -0.307155,   0.000000 |   0.771836,   0.000000, -139.054998 | 2.637966e-09, 4.656613e-10, 1.889080e-07 : 000, -1 :  84
4366 :  -0.890724,   0.554805,   0.000000 |   1.728077,   0.000000,  148.082506 | 2.114588e+00, 6.131554e-01, 1.348254e+01 : 101,  1 :  56
4367 :  -0.226663,   0.628888,   0.000000 |   1.100839,   0.000000,  109.820079 | 2.037788e+00, 2.613841e-01, 1.265111e+01 : 101,  2 :  57
4368 :   0.632871,  -0.268595,   0.000000 |   1.132163,   0.000000,  -22.996713 | 2.026945e+00, 3.155560e-01, 9.474480e+00 : 100,  2 :  57
4369 :   0.410705,   0.958055,   0.000000 |   1.716544,   0.000000,   66.795851 | 2.074109e+00, 8.629700e-01, 4.769200e+00 : 100,  1 :  56
4370 :  -0.123950,   0.860661,   0.000000 |   1.431926,   0.000000,   98.195250 | 2.017857e+00, 4.061633e-01, 3.796544e+00 : 101,  2 :  57
4371 :  -0.987540,  -0.382707,   0.000000 |   1.744089,   0.000000, -158.816861 | 2.071426e+00, 9.197092e-01, 2.748190e+00 : 100,  1 :  56
4372 :   0.789166,   0.883987,   0.000000 |   1.951404,   0.000000,   48.243591 | 2.230841e+00, 2.582444e-01, 2.332146e+01 : 100,  1 :  56
4373 :   0.060906,   0.670616,   0.000000 |   1.108889,   0.000000,   84.810613 | 2.011525e+00, 4.848554e-01, 7.906819e-01 : 100,  2 :  57
4374 :   0.752283,  -0.590404,   0.000000 |   1.574795,   0.000000,  -38.125422 | 2.151168e+00, 4.905348e-01, 1.969047e+01 : 100,  1 :  56
4375 :  -0.652127,   0.259179,   0.000000 |   1.155602,   0.000000,  158.325346 | 2.032146e+00, 2.857598e-01, 1.079654e+01 : 101,  2 :  57
4376 :  -0.816061,  -0.521992,   0.000000 |   1.595261,   0.000000, -147.395037 | 2.110173e+00, 6.250419e-01, 1.417001e+01 : 100,  1 :  56
4377 :   0.496581,   0.299396,   0.000000 |   0.954880,   0.000000,   31.086454 | 1.780685e-09, 1.396984e-09, 1.874614e-07 : 000, -1 :  84
4378 :   0.999522,  -0.002529,   0.000000 |   1.645979,   0.000000,   -0.144958 | 2.145431e+00, 5.040320e-01, 1.828999e+01 : 110,  1 :  56
4379 :  -0.682540,  -0.352137,   0.000000 |   1.264751,   0.000000, -152.709850 | 2.064873e+00, 8.130651e-01, 8.855202e+00 : 100,  1 :  56
4380 :   0.263003,  -0.681940,   0.000000 |   1.203614,   0.000000,  -68.909938 | 2.035820e+00, 2.649315e-01, 1.138113e+01 : 100,  2 :  57
4381 :  -0.908266,   0.951815,   0.000000 |   2.166538,   0.000000,  133.658825 | 2.284682e+00, 1.135080e-01, 2.522388e+01 : 101,  1 :  56
4382 :   0.875776,   0.913194,   0.000000 |   2.083595,   0.000000,   46.198240 | 2.275916e+00, 1.429337e-01, 2.536681e+01 : 100,  1 :  56
4383 :  -0.623537,   0.903888,   0.000000 |   1.808299,   0.000000,  124.599405 | 2.140698e+00, 5.166387e-01, 1.616446e+01 : 101,  1 :  56
4384 :   0.646363,  -0.362674,   0.000000 |   1.220513,   0.000000,  -29.296783 | 2.069631e+00, 7.791700e-01, 1.086183e+01 : 100,  1 :  56
4385 :   0.424838,  -0.880068,   0.000000 |   1.609287,   0.000000,  -64.231851 | 2.076767e+00, 8.027769e-01, 7.333200e+00 : 100,  1 :  56
4386 :   0.584727,   0.528556,   0.000000 |   1.297996,   0.000000,   42.111555 | 2.156627e+00, 4.995297e-01, 2.367661e+01 : 100,  1 :  56
4387 :   0.815451,   0.358609,   0.000000 |   1.466967,   0.000000,   23.738366 | 2.064486e+00, 8.698114e-01, 5.303417e+00 : 100,  1 :  56
4388 :   0.764940,  -0.375083,   0.000000 |   1.402959,   0.000000,  -26.120695 | 2.068007e+00, 8.198457e-01, 7.685746e+00 : 100,  1 :  56
4389 :  -0.615699,   0.301548,   0.000000 |   1.128981,   0.000000,  153.905980 | 2.018541e+00, 3.758922e-01, 6.377172e+00 : 101,  2 :  57
4390 :  -0.400038,  -0.236921,   0.000000 |   0.765632,   0.000000, -149.363969 | 3.135925e-09, -0.000000e+00, 2.069395e-07 : 000, -1 :  84
4391 :   0.053289,   0.612791,   0.000000 |   1.012929,   0.000000,   85.029995 | 2.009232e+00, 1.346899e-01, 6.553717e+00 : 100,  3 :  58
4392 :   0.872285,  -0.171775,   0.000000 |   1.464032,   0.000000,  -11.140459 | 2.069717e+00, 8.215204e-01, 7.294490e+00 : 110,  1 :  56
4393 :  -0.351062,   0.496292,   0.000000 |   1.001076,   0.000000,  125.274427 | 2.000329e+00, 4.425504e-02, 1.044464e+00 : 101,  5 :  60
4394 :   0.364179,  -0.576144,   0.000000 |   1.122419,   0.000000,  -57.703161 | 2.011565e+00, 4.966196e-01, 1.743536e-01 : 100,  2 :  57
4395 :   0.305108,  -0.529797,   0.000000 |   1.006783,   0.000000,  -60.062551 | 2.000813e+00, 1.428216e-01, 1.014938e+00 : 100,  4 :  59
